# Field [Oe]; Voltage [V]
0; 1.2809
0; 1.2806
10000; 1.7230
0; 1.2804
17000; 1.9656
0; 1.2803
1000; 1.3269
2000; 1.3735
3000; 1.4198
4000; 1.4656
5000; 1.5107
6000; 1.5552
7000; 1.5986
8000; 1.6411
9000; 1.6825
10000; 1.7228
0; 1.2801
17000; 1.9653
16000; 1.9353
15000; 1.9036
14000; 1.8703
13000; 1.8355
12000; 1.7993
11000; 1.7616
10000; 1.7225
9000; 1.6822
8000; 1.6408
7000; 1.5982
6000; 1.5546
5000; 1.5102
4000; 1.4650
3000; 1.4192
2000; 1.3729
1000; 1.3264
900; 1.3217
800; 1.3171
700; 1.3124
600; 1.3077
500; 1.3030
400; 1.2984
300; 1.2937
200; 1.2891
100; 1.2844
0; 1.2797
1; 1.2798
2; 1.2798
3; 1.2799
4; 1.2799
5; 1.2800
15; 1.2804
25; 1.2809
