# Time;Field[mT];Voltage[V]
0;2.3547274995344196;1.2812
6;2.3547274995344196;1.2812
12;2.3547274995344196;1.2812
18;2.3547274995344196;1.2812
24;2.3547274995344196;1.2812
30;2.3547274995344196;1.2812
36;2.3547274995344196;1.2812
42;2.3547274995344196;1.2812
48;2.3547274995344196;1.2812
54;2.3547274995344196;1.2812
60;2.3547274995344196;1.2812
66;2.3547274995344196;1.2812
72;2.3547274995344196;1.2812
78;2.3547274995344196;1.2812
84;2.3547274995344196;1.2812
90;2.3547274995344196;1.2812
96;2.3547274995344196;1.2812
102;2.3547274995344196;1.2812
108;2.3547274995344196;1.2812
114;2.3547274995344196;1.2812
120;2.3547274995344196;1.2812
126;2.3547274995344196;1.2812
132;2.3547274995344196;1.2812
138;2.3547274995344196;1.2812
144;2.3547274995344196;1.2812
150;2.3547274995344196;1.2812
156;2.3547274995344196;1.2812
162;2.3547274995344196;1.2812
168;2.3547274995344196;1.2812
174;2.3547274995344196;1.2812
180;2.3547274995344196;1.2812
186;2.3547274995344196;1.2812
192;2.3547274995344196;1.2812
198;2.3547274995344196;1.2812
204;2.3547274995344196;1.2812
210;2.3547274995344196;1.2812
216;2.3547274995344196;1.2812
222;2.3547274995344196;1.2812
228;2.3547274995344196;1.2812
234;2.3547274995344196;1.2812
240;2.3547274995344196;1.2812
246;2.3547274995344196;1.2812
252;2.3547274995344196;1.2812
258;2.3547274995344196;1.2812
264;2.3547274995344196;1.2812
270;2.3547274995344196;1.2812
276;2.3547274995344196;1.2812
282;2.3547274995344196;1.2812
288;2.3547274995344196;1.2812
294;2.3547274995344196;1.2812
300;2.3547274995344196;1.2812
306;2.3547274995344196;1.2812
312;2.3547274995344196;1.2812
318;2.3547274995344196;1.2812
324;2.3547274995344196;1.2812
330;2.3547274995344196;1.2812
336;2.3547274995344196;1.2812
342;2.3547274995344196;1.2812
348;2.3547274995344196;1.2812
354;2.3547274995344196;1.2812
360;2.3547274995344196;1.2812
366;2.3547274995344196;1.2812
372;2.3547274995344196;1.2812
378;2.3547274995344196;1.2812
384;2.3547274995344196;1.2812
390;2.3547274995344196;1.2812
396;2.3547274995344196;1.2812
402;2.3547274995344196;1.2812
408;2.3547274995344196;1.2812
414;2.3547274995344196;1.2812
420;2.3547274995344196;1.2812
426;2.3547274995344196;1.2812
432;2.3547274995344196;1.2812
438;2.3547274995344196;1.2812
444;2.3547274995344196;1.2812
450;2.3547274995344196;1.2812
456;2.3547274995344196;1.2812
462;2.3547274995344196;1.2812
468;2.3547274995344196;1.2812
474;2.3547274995344196;1.2812
480;2.3547274995344196;1.2812
486;2.3547274995344196;1.2812
492;2.3547274995344196;1.2812
498;2.3547274995344196;1.2812
504;2.3547274995344196;1.2812
510;2.3547274995344196;1.2812
516;2.3547274995344196;1.2812
522;2.3547274995344196;1.2812
528;2.3547274995344196;1.2812
534;2.3547274995344196;1.2812
540;2.3547274995344196;1.2812
546;2.3547274995344196;1.2812
552;2.3547274995344196;1.2812
558;2.3547274995344196;1.2812
564;2.3547274995344196;1.2812
570;2.3547274995344196;1.2812
576;2.3547274995344196;1.2812
582;2.3547274995344196;1.2812
588;2.3547274995344196;1.2812
594;2.3547274995344196;1.2812
600;2.3547274995344196;1.2812
606;2.3547274995344196;1.2812
612;2.3547274995344196;1.2812
618;2.3547274995344196;1.2812
624;2.3547274995344196;1.2812
630;2.3547274995344196;1.2812
636;2.3547274995344196;1.2812
642;2.3547274995344196;1.2812
648;2.3547274995344196;1.2812
654;2.3547274995344196;1.2812
660;2.3547274995344196;1.2812
666;2.3547274995344196;1.2812
672;2.3547274995344196;1.2812
678;2.3547274995344196;1.2812
684;2.3547274995344196;1.2812
690;2.3547274995344196;1.2812
696;2.3547274995344196;1.2812
702;2.3547274995344196;1.2812
708;2.3547274995344196;1.2812
714;2.3547274995344196;1.2812
720;2.3547274995344196;1.2812
726;2.3547274995344196;1.2812
732;2.3547274995344196;1.2812
738;2.3547274995344196;1.2812
744;2.3547274995344196;1.2812
750;2.3547274995344196;1.2812
756;2.3547274995344196;1.2812
762;2.3547274995344196;1.2812
768;2.3547274995344196;1.2812
774;2.3547274995344196;1.2812
780;2.3547274995344196;1.2812
786;2.3547274995344196;1.2812
792;2.3547274995344196;1.2812
798;2.3547274995344196;1.2812
804;2.3547274995344196;1.2812
810;2.3547274995344196;1.2812
816;2.3547274995344196;1.2812
822;2.3547274995344196;1.2812
828;2.3547274995344196;1.2812
834;2.3547274995344196;1.2812
840;2.3547274995344196;1.2812
846;2.3547274995344196;1.2812
852;2.3547274995344196;1.2812
858;2.3547274995344196;1.2812
864;2.3547274995344196;1.2812
870;2.3547274995344196;1.2812
876;2.3547274995344196;1.2812
882;2.3547274995344196;1.2812
888;2.3547274995344196;1.2812
894;2.3547274995344196;1.2812
900;2.3547274995344196;1.2812
906;2.3547274995344196;1.2812
912;2.3547274995344196;1.2812
918;2.3547274995344196;1.2812
924;2.3547274995344196;1.2812
930;2.3547274995344196;1.2812
936;2.3547274995344196;1.2812
942;2.3547274995344196;1.2812
948;2.3547274995344196;1.2812
954;2.3547274995344196;1.2812
960;2.3547274995344196;1.2812
966;2.3547274995344196;1.2812
972;2.3547274995344196;1.2812
978;2.3547274995344196;1.2812
984;2.3547274995344196;1.2812
990;2.3547274995344196;1.2812
996;2.3547274995344196;1.2812
1002;2.3547274995344196;1.2812
